temporada,nombre_inc,rol,nompredrea,USO_TIERRA,USO,SUBUSO,ESTRUCTURA,COBERTURA,ALTURA,TIPO_FORES,SUBTIPOFOR,NOM_REG,NOM_PROV,NOM_COM,SOLICITUD,ESTAD_SOL,ANO,NOM_PREDIO,ROL_AVAL,LONG,LAT
2016-2017,CAMARICO  2,25-8,HIJUELA N 2,Matorral Arborescente Semidenso,Praderas y Matorrales,Matorral Arborescente,No Aplica,Semidenso,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3800,-35.1761
2016-2017,LOS ROBLES,24-5,LOS ROBLES,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3668,-35.2111
2016-2017,LOS ROBLES,24-31,VILLA MERCEDES,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3692,-35.2208
2016-2017,MONTE OSCURO (AMENAZA),21-662,P P RIO CLARO PC 2 LT 1,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.2111,-35.2511
2016-2017,BUENA PAZ,25-120,FRUTILLAR HJ SUR RSVA A,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3555,-35.1845
2016-2017,CAMARICO,25-293,FUNDO SAN JORGELOTEB,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3953,-35.1886
2016-2017,PASO ANCHO // SAN CAMILO,24-284,VIENA PC 42 PARTE,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3316,-35.1962
2016-2017,LA OBRA // CHICA ESTANCIA,22-35,FUNDO LA OBRA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3303,-35.3011
2016-2017,LOS ROBLES,22-25,TRES ALAMOS,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3841,-35.2391
2016-2017,SAN ANTONIO,22-25,TRES ALAMOS,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3752,-35.2350
2016-2017,FUNDO SAN ANTONIO,22-25,TRES ALAMOS,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3778,-35.2394
2016-2017,ODESA,21-140,RIO CLARO PC 14,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.2439,-35.2311
2016-2017,SN GERARDO PC.62 Y 63,27-143,SN GERARDO PC 64,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.2125,-35.2316
2016-2017,FUNDO SAN ANTONIO,22-176,STA AGUEDA PC 16,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3258,-35.2286
2016-2017,LOS ROBLES,22-114,LOS MONTES DE SAN SEBASTIAN,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3459,-35.2298
2016-2017,SAN ANTONIO,22-114,LOS MONTES DE SAN SEBASTIAN,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3503,-35.2312
2016-2017,FUNDO SAN ANTONIO,22-114,LOS MONTES DE SAN SEBASTIAN,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3519,-35.2385
2016-2017,LOS ROBLES,23-10,FUNDO SAN ANTONIO,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3606,-35.2337
2016-2017,LOS ROBLES,23-10,FUNDO SAN ANTONIO,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3949,-35.2342
2016-2017,LOS ROBLES,23-10,FUNDO SAN ANTONIO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3847,-35.2322
2016-2017,LOS ROBLES,23-10,FUNDO SAN ANTONIO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3635,-35.2329
2016-2017,FUNDO SAN ANTONIO,23-10,FUNDO SAN ANTONIO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3864,-35.2344
2016-2017,MONTE OSCURO 2,21-509,SANTA SOFIA LT 1 A,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.2150,-35.2478
2016-2017,PASO ANCHO II,22-229,EL MAQUI LT A,Matorral Arborescente Semidenso,Praderas y Matorrales,Matorral Arborescente,No Aplica,Semidenso,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3397,-35.2491
2016-2017,CUMPEO,21-356,SN ENRIQUE PC 16,Matorral Semidenso,Praderas y Matorrales,Matorral,No Aplica,Semidenso,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.2629,-35.2786
2016-2017,CASAS VIEJAS TAGLE,136-5,CASAS VIEJAS RES CORA 2,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.2147,-35.2831
2016-2017,EL GUINDO,22-70,FUNDO STA TERESA KM ( 9 CAMINOO ),Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3459,-35.2639
2016-2017,HUERTA SANTA LUCIA,21-267,PARCELA 16 LOS CERRILLOS,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.3081,-35.2861
2016-2017,LA VEGUILLA,SR,,Bosque Nativo Renoval Denso,Bosques,Bosque Nativo,Renoval,Denso,< 2,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Talca,R?â?¡o Claro,,,0,,,-71.0778,-35.4117
2016-2017,ZAPALLAR,537-2,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Curico,,,0,,,-71.2247,-34.9961
2016-2017,LO VALDIVIA,124-19,EL CARMEN,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.3399,-34.9897
2016-2017,FUNDO COL?ìN,141-19,COLIN Y LA CAMPANA,Matorral Denso,Praderas y Matorrales,Matorral,No Aplica,Denso,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.3941,-35.0143
2016-2017,LONTUE,624-27,LT A 2 HJ 2 E HJ 3 FDO LA FORTUNA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.2814,-35.0489
2016-2017,SANTA EMILIA,141-1,LA ISLA DE RIO,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.4904,-35.0385
2016-2017,SANATORIO,129-6,FDO. EL SANATORIO ( SECTOR PULMUDON,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.3253,-35.0496
2016-2017,RINC?ôN DE MELLADO,140-91,PROYECTO LAUTARO PARCELA 18,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.4846,-35.0721
2016-2017,LO VALDIVIA,SR,,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.3435,-34.9892
